Phylum	No. genomes	Avg. single copy	No. genes >50% single copy	No. genes >=95.0% single copy	PF00380.20	PF00410.20	PF00466.21	TIGR00006	TIGR00019	TIGR00020	TIGR00029	TIGR00043	TIGR00054	TIGR00059	TIGR00061	TIGR00064	TIGR00082	TIGR00084	TIGR00086	TIGR00088	TIGR00092	TIGR00116	TIGR00158	TIGR00166	TIGR00168	TIGR00194	TIGR00250	TIGR00337	TIGR00344	TIGR00362	TIGR00392	TIGR00396	TIGR00398	TIGR00414	TIGR00420	TIGR00431	TIGR00435	TIGR00442	TIGR00460	TIGR00468	TIGR00472	TIGR00487	TIGR00496	TIGR00593	TIGR00615	TIGR00631	TIGR00635	TIGR00755	TIGR00810	TIGR00922	TIGR00959	TIGR00963	TIGR00964	TIGR00967	TIGR01009	TIGR01011	TIGR01017	TIGR01021	TIGR01029	TIGR01032	TIGR01044	TIGR01059	TIGR01063	TIGR01066	TIGR01071	TIGR01079	TIGR01087	TIGR01164	TIGR01169	TIGR01171	TIGR01393	TIGR01632	TIGR01951	TIGR01953	TIGR02012	TIGR02013	TIGR02027	TIGR02075	TIGR02191	TIGR02386	TIGR02397	TIGR02729	TIGR03263	TIGR03594	TIGR03625	TIGR03632	TIGR03654	TIGR03723	TIGR03953
p__4572-55	1	97.65	83	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__AABM5-125-24	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Abyssubacteria	1	97.65	83	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Acidobacteriota	228	96.95	85	70	99.12	98.68	95.18	93.86	98.68	95.61	98.68	94.30	92.54	98.25	98.25	99.12	96.93	96.93	97.81	99.12	94.30	98.25	99.56	99.56	97.37	99.12	96.49	98.25	98.25	99.56	96.93	96.05	97.81	98.68	96.93	98.25	96.49	99.12	97.81	98.68	97.81	96.93	99.56	98.25	97.81	98.68	97.81	97.81	94.74	93.86	98.25	94.30	92.54	98.25	97.37	99.56	87.72	98.68	96.93	99.56	96.49	96.05	95.18	99.56	98.25	99.12	98.68	96.93	94.74	96.49	93.42	94.74	98.68	98.25	86.84	91.23	98.25	100.00	96.49	86.84	97.81	98.68	98.68	98.25	95.18	98.25	98.68	96.05	96.05
p__Actinobacteriota	4443	98.54	85	77	99.84	99.46	99.44	99.66	99.71	99.62	99.62	99.84	94.15	99.82	99.39	99.57	99.62	99.57	94.98	99.39	99.50	99.68	99.59	99.59	99.59	99.59	99.03	94.82	95.21	99.37	96.74	98.04	91.36	94.67	96.47	99.73	94.62	97.25	97.79	99.32	99.41	99.66	99.86	98.83	99.62	99.62	99.23	99.41	99.37	99.64	99.46	98.29	99.57	97.25	99.41	99.46	89.69	99.62	99.50	99.77	99.50	97.23	99.17	99.86	99.64	99.41	98.85	99.50	99.82	99.39	99.48	97.75	99.53	99.64	98.27	96.76	96.89	98.60	98.54	99.30	98.22	99.62	96.71	99.73	99.44	99.73	99.53	93.59	99.44
p__Aquificota	33	95.04	83	72	100.00	100.00	93.94	100.00	100.00	100.00	96.97	69.70	96.97	96.97	100.00	100.00	84.85	54.55	100.00	100.00	100.00	96.97	96.97	96.97	100.00	96.97	96.97	96.97	100.00	100.00	100.00	96.97	93.94	96.97	100.00	100.00	100.00	100.00	100.00	100.00	96.97	100.00	100.00	24.24	100.00	100.00	54.55	100.00	81.82	96.97	100.00	100.00	81.82	100.00	100.00	96.97	100.00	96.97	90.91	100.00	100.00	100.00	24.24	100.00	100.00	100.00	96.97	100.00	96.97	100.00	96.97	96.97	100.00	100.00	100.00	93.94	100.00	96.97	100.00	93.94	100.00	100.00	96.97	100.00	100.00	100.00	100.00	100.00	100.00
p__Armatimonadota	55	96.88	85	66	100.00	98.18	100.00	96.36	98.18	98.18	100.00	100.00	100.00	98.18	96.36	100.00	69.09	83.64	94.55	100.00	76.36	98.18	98.18	98.18	100.00	98.18	94.55	98.18	100.00	92.73	94.55	96.36	98.18	96.36	100.00	100.00	98.18	94.55	94.55	100.00	98.18	100.00	100.00	92.73	100.00	96.36	94.55	90.91	80.00	96.36	100.00	98.18	94.55	100.00	100.00	98.18	98.18	100.00	98.18	100.00	100.00	94.55	96.36	100.00	98.18	98.18	94.55	94.55	96.36	100.00	94.55	96.36	100.00	98.18	98.18	100.00	98.18	100.00	96.36	90.91	100.00	100.00	98.18	98.18	100.00	100.00	100.00	96.36	100.00
p__Aureabacteria_A	1	94.12	80	80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__BMS3Abin14	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Bacteroidota	3146	98.65	85	82	99.43	98.76	98.60	98.44	99.43	99.08	98.38	98.79	97.65	99.24	99.40	99.46	98.00	99.68	99.36	99.27	99.11	99.40	99.24	99.21	97.81	97.93	99.08	98.63	99.33	96.95	99.40	99.08	99.49	99.43	94.25	98.95	98.92	99.33	99.08	99.24	99.33	99.46	99.49	97.52	98.25	98.03	99.21	99.55	99.08	98.16	99.33	98.70	89.19	99.33	98.54	99.27	99.05	98.95	98.76	99.05	98.51	99.01	99.08	99.33	99.08	98.73	98.03	98.35	98.51	98.54	99.08	98.22	99.01	99.65	98.38	98.28	98.92	99.40	92.75	98.32	99.24	99.46	98.51	99.62	98.82	98.82	98.89	99.24	98.73
p__Bdellovibrionota	71	94.78	83	66	100.00	98.59	92.96	97.18	100.00	100.00	95.77	100.00	98.59	100.00	100.00	94.37	97.18	100.00	98.59	98.59	97.18	100.00	100.00	71.83	94.37	98.59	33.80	100.00	98.59	78.87	97.18	98.59	59.15	100.00	97.18	98.59	98.59	97.18	98.59	98.59	100.00	100.00	100.00	95.77	83.10	98.59	100.00	98.59	100.00	94.37	92.96	95.77	94.37	98.59	98.59	100.00	77.46	98.59	95.77	100.00	98.59	95.77	98.59	100.00	98.59	87.32	42.25	98.59	95.77	98.59	98.59	95.77	100.00	100.00	97.18	91.55	100.00	91.55	88.73	91.55	95.77	98.59	91.55	100.00	98.59	97.18	98.59	98.59	97.18
p__Bdellovibrionota_C	4	96.76	82	77	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	75.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Bipolaricaulota	4	90.88	78	74	100.00	100.00	100.00	100.00	100.00	100.00	25.00	0.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	0.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00
p__CG03	2	90.00	72	72	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	50.00	100.00	0.00	50.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	50.00	100.00	100.00	50.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00
p__CG2-30-53-67	1	98.82	84	84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00
